Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[w/o HGNN (Teacher)] Epoch 5/45 | loss_total=1.5824 recon=0.2293 hsic=0.0162 pred=0.3371 distill=0.0000
[w/o HGNN (Teacher)] Epoch 20/45 | loss_total=1.2141 recon=0.0316 hsic=0.0216 pred=0.2920 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep24 | score=1003.3043 AUC=0.7545 Acc=0.8508 F1=0.5442 PEHE=0.0888 dCATE=0.1604 Sens=0.1082 thr=0.40 feasible=1
[w/o HGNN (Teacher)] Epoch 25/45 | loss_total=1.0836 recon=0.0240 hsic=0.0221 pred=0.2604 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep28 | score=-0.0137 AUC=0.7629 Acc=0.8541 F1=0.5467 PEHE=0.1095 dCATE=0.1791 Sens=0.1384 thr=0.57 feasible=0
[w/o HGNN (Teacher)] Epoch 30/45 | loss_total=1.0054 recon=0.0214 hsic=0.0224 pred=0.2408 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep32 | score=1003.2241 AUC=0.7267 Acc=0.8430 F1=0.5253 PEHE=0.1090 dCATE=0.1906 Sens=0.1175 thr=0.43 feasible=1
[w/o HGNN (Teacher)] Epoch 35/45 | loss_total=0.9407 recon=0.0201 hsic=0.0223 pred=0.2231 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep36 | score=1003.0960 AUC=0.6932 Acc=0.8129 F1=0.4940 PEHE=0.1053 dCATE=0.1846 Sens=0.0977 thr=0.17 feasible=1
[w/o HGNN (Teacher)] Val@Ep40 | score=1003.0421 AUC=0.6739 Acc=0.8085 F1=0.4850 PEHE=0.1039 dCATE=0.1890 Sens=0.1127 thr=0.16 feasible=1
[w/o HGNN (Teacher)] Epoch 40/45 | loss_total=0.8725 recon=0.0185 hsic=0.0225 pred=0.2064 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep44 | score=-2.8375 AUC=0.6689 Acc=0.8218 F1=0.5062 PEHE=0.1354 dCATE=0.1930 Sens=0.1373 thr=0.26 feasible=0
[w/o HGNN (Teacher)] Epoch 45/45 | loss_total=0.8069 recon=0.0162 hsic=0.0223 pred=0.1909 distill=0.0000
[w/o HGNN (Teacher)] Restored best checkpoint at epoch 8 (score=1003.5872, thr=0.30)
Training Full DLC (SOTA) from scratch (Seed 43)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=2.3349 recon=0.0427 hsic=0.0206 pred=0.3448 distill=0.3245
[Full DLC (SOTA)] Val@Ep8 | score=1003.5598 AUC=0.8162 Acc=0.8530 F1=0.6024 PEHE=0.0505 dCATE=0.1324 Sens=0.0133 thr=0.37 feasible=1
[Full DLC (SOTA)] Epoch 10/65 | loss_total=2.2576 recon=0.0196 hsic=0.0202 pred=0.3433 distill=0.3241
[Full DLC (SOTA)] Val@Ep12 | score=1003.5814 AUC=0.8129 Acc=0.8530 F1=0.5976 PEHE=0.0255 dCATE=0.1521 Sens=0.0165 thr=0.34 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=2.2229 recon=0.0142 hsic=0.0202 pred=0.3418 distill=0.3222
