Imports completed. Initializing device...
Device used: cuda
============================================================
Lambda CATE密集扫描 (基于最终PARAMS)
============================================================

>>> lambda_cate = 0
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7453
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7248
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6885
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5765
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6429
  Seed 43: AUC=0.7838, CATE=0.1591, PEHE=0.1159
    [Pre-train Seed=44] Ep 50/200 Loss=1.5013
    [Pre-train Seed=44] Ep 100/200 Loss=1.4209
    [Pre-train Seed=44] Ep 150/200 Loss=1.4053
    [Pre-train Seed=44] Ep 200/200 Loss=1.3901
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8129
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7246
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7201
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6067
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7115
  Seed 44: AUC=0.7872, CATE=0.1901, PEHE=0.1187
  平均: AUC=0.7863±0.0022, CATE=0.1771±0.0161

>>> lambda_cate = 3.0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5306
    [Pre-train Seed=42] Ep 100/200 Loss=1.4199
    [Pre-train Seed=42] Ep 150/200 Loss=1.4025
    [Pre-train Seed=42] Ep 200/200 Loss=1.3845
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7698
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6091
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6510
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5649
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6090
  Seed 42: AUC=0.7887, CATE=0.1839, PEHE=0.1176
    [Pre-train Seed=43] Ep 50/200 Loss=1.5089
    [Pre-train Seed=43] Ep 100/200 Loss=1.4191
    [Pre-train Seed=43] Ep 150/200 Loss=1.4035
    [Pre-train Seed=43] Ep 200/200 Loss=1.3855
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7524
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7228
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6906
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5867
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6476
  Seed 43: AUC=0.7845, CATE=0.1675, PEHE=0.1146
    [Pre-train Seed=44] Ep 50/200 Loss=1.5006
    [Pre-train Seed=44] Ep 100/200 Loss=1.4213
    [Pre-train Seed=44] Ep 150/200 Loss=1.4056
    [Pre-train Seed=44] Ep 200/200 Loss=1.3913
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8107
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7272
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7290
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6117
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7101
  Seed 44: AUC=0.7879, CATE=0.1947, PEHE=0.1175
  平均: AUC=0.7871±0.0022, CATE=0.1820±0.0137

>>> lambda_cate = 4.0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5304
    [Pre-train Seed=42] Ep 100/200 Loss=1.4207
    [Pre-train Seed=42] Ep 150/200 Loss=1.4035
    [Pre-train Seed=42] Ep 200/200 Loss=1.3854
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7734
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6116
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6554
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5718
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6131
  Seed 42: AUC=0.7906, CATE=0.1915, PEHE=0.1178
    [Pre-train Seed=43] Ep 50/200 Loss=1.5091
    [Pre-train Seed=43] Ep 100/200 Loss=1.4192
    [Pre-train Seed=43] Ep 150/200 Loss=1.4046
    [Pre-train Seed=43] Ep 200/200 Loss=1.3866
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7598
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7255
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6986
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5866
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6538
  Seed 43: AUC=0.7868, CATE=0.1725, PEHE=0.1128
    [Pre-train Seed=44] Ep 50/200 Loss=1.4987
    [Pre-train Seed=44] Ep 100/200 Loss=1.4220
    [Pre-train Seed=44] Ep 150/200 Loss=1.4060
    [Pre-train Seed=44] Ep 200/200 Loss=1.3915
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8134
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7231
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7317
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6174
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7093
  Seed 44: AUC=0.7914, CATE=0.2091, PEHE=0.1140
  平均: AUC=0.7896±0.0025, CATE=0.1910±0.0183

>>> lambda_cate = 5.0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5299
    [Pre-train Seed=42] Ep 100/200 Loss=1.4211
    [Pre-train Seed=42] Ep 150/200 Loss=1.4043
    [Pre-train Seed=42] Ep 200/200 Loss=1.3865
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7715
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6130
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6552
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5724
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6199
  Seed 42: AUC=0.7967, CATE=0.1991, PEHE=0.1148
    [Pre-train Seed=43] Ep 50/200 Loss=1.5093
    [Pre-train Seed=43] Ep 100/200 Loss=1.4199
    [Pre-train Seed=43] Ep 150/200 Loss=1.4060
    [Pre-train Seed=43] Ep 200/200 Loss=1.3879
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7599
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7313
    [Fine-tune Seed=43] Ep 60/100 Loss=1.7013
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5925
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6554
  Seed 43: AUC=0.7883, CATE=0.1782, PEHE=0.1108
    [Pre-train Seed=44] Ep 50/200 Loss=1.4992
    [Pre-train Seed=44] Ep 100/200 Loss=1.4224
    [Pre-train Seed=44] Ep 150/200 Loss=1.4066
    [Pre-train Seed=44] Ep 200/200 Loss=1.3930
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8135
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7302
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7292
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6286
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7096
  Seed 44: AUC=0.7963, CATE=0.2152, PEHE=0.1119
  平均: AUC=0.7938±0.0047, CATE=0.1975±0.0186

>>> lambda_cate = 6.0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5296
    [Pre-train Seed=42] Ep 100/200 Loss=1.4219
    [Pre-train Seed=42] Ep 150/200 Loss=1.4050
    [Pre-train Seed=42] Ep 200/200 Loss=1.3878
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7720
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6148
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6581
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5761
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6203
  Seed 42: AUC=0.7982, CATE=0.2009, PEHE=0.1155
    [Pre-train Seed=43] Ep 50/200 Loss=1.5095
    [Pre-train Seed=43] Ep 100/200 Loss=1.4206
    [Pre-train Seed=43] Ep 150/200 Loss=1.4074
    [Pre-train Seed=43] Ep 200/200 Loss=1.3895
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7640
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7367
    [Fine-tune Seed=43] Ep 60/100 Loss=1.7015
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5967
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6590
  Seed 43: AUC=0.7868, CATE=0.1843, PEHE=0.1113
    [Pre-train Seed=44] Ep 50/200 Loss=1.4998
    [Pre-train Seed=44] Ep 100/200 Loss=1.4227
    [Pre-train Seed=44] Ep 150/200 Loss=1.4067
    [Pre-train Seed=44] Ep 200/200 Loss=1.3927
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8214
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7295
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7423
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6338
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7193
  Seed 44: AUC=0.7956, CATE=0.2181, PEHE=0.1112
  平均: AUC=0.7935±0.0060, CATE=0.2011±0.0169

>>> lambda_cate = 7.0
