Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[w/o HSIC (Teacher)] Val@Ep28 | score=1003.8076 AUC=0.8099 Acc=0.8330 F1=0.5902 PEHE=0.0721 dCATE=0.1950 Sens=0.0315 thr=0.23 feasible=1
[w/o HSIC (Teacher)] Epoch 30/45 | loss_total=1.3269 recon=0.0083 hsic=0.0193 pred=0.3282 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep32 | score=1003.7955 AUC=0.8093 Acc=0.8263 F1=0.5895 PEHE=0.0494 dCATE=0.1780 Sens=0.0371 thr=0.24 feasible=1
[w/o HSIC (Teacher)] Epoch 35/45 | loss_total=1.3155 recon=0.0083 hsic=0.0197 pred=0.3250 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep36 | score=1003.7760 AUC=0.8076 Acc=0.8218 F1=0.5855 PEHE=0.0442 dCATE=0.1623 Sens=0.0333 thr=0.19 feasible=1
[w/o HSIC (Teacher)] Val@Ep40 | score=1003.7645 AUC=0.8054 Acc=0.8229 F1=0.5760 PEHE=0.0356 dCATE=0.1531 Sens=0.0333 thr=0.16 feasible=1
[w/o HSIC (Teacher)] Epoch 40/45 | loss_total=1.2914 recon=0.0079 hsic=0.0197 pred=0.3187 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep44 | score=1003.7371 AUC=0.8019 Acc=0.8185 F1=0.5699 PEHE=0.0477 dCATE=0.1780 Sens=0.0445 thr=0.18 feasible=1
[w/o HSIC (Teacher)] Epoch 45/45 | loss_total=1.2752 recon=0.0070 hsic=0.0197 pred=0.3154 distill=0.0000
[w/o HSIC (Teacher)] Restored best checkpoint at epoch 8 (score=1003.8869, thr=0.36)
Training Full DLC (SOTA) from scratch (Seed 43)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=2.5237 recon=0.0424 hsic=0.0206 pred=0.3448 distill=0.3550
[Full DLC (SOTA)] Val@Ep8 | score=1003.8789 AUC=0.8166 Acc=0.8575 F1=0.6025 PEHE=0.0492 dCATE=0.1251 Sens=0.0132 thr=0.40 feasible=1
[Full DLC (SOTA)] Epoch 10/65 | loss_total=2.4450 recon=0.0198 hsic=0.0202 pred=0.3433 distill=0.3545
[Full DLC (SOTA)] Val@Ep12 | score=1003.9031 AUC=0.8127 Acc=0.8552 F1=0.6012 PEHE=0.0255 dCATE=0.1527 Sens=0.0162 thr=0.35 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=2.4111 recon=0.0145 hsic=0.0202 pred=0.3420 distill=0.3544
[Full DLC (SOTA)] Val@Ep16 | score=1003.8634 AUC=0.8121 Acc=0.8385 F1=0.5938 PEHE=0.0276 dCATE=0.1643 Sens=0.0143 thr=0.23 feasible=1
