=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=p_seed_45 d_hidden=128 num_layers=4 lambda_hsic=0.1 lambda_pred=2.0 lambda_ite=1.0 lambda_cate=2.0 lambda_prob=1.0 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 45
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (130 epochs)...
  Ep 44: Loss 1.5029 | AUC 0.8539 | CATE 0.0704 | PEHE 0.0804 | Sens 0.0003
  Ep 45: Loss 1.5547 | AUC 0.8535 | CATE 0.0719 | PEHE 0.0805 | Sens 0.0003
  Ep 46: Loss 1.5473 | AUC 0.8535 | CATE 0.0707 | PEHE 0.0809 | Sens 0.0003
  Ep 47: Loss 1.5065 | AUC 0.8539 | CATE 0.0700 | PEHE 0.0813 | Sens 0.0003
  Ep 48: Loss 1.4981 | AUC 0.8539 | CATE 0.0694 | PEHE 0.0817 | Sens 0.0003
  Ep 49: Loss 1.4390 | AUC 0.8539 | CATE 0.0689 | PEHE 0.0821 | Sens 0.0003
  Ep 50: Loss 1.4788 | AUC 0.8535 | CATE 0.0701 | PEHE 0.0822 | Sens 0.0003
  Ep 51: Loss 1.5079 | AUC 0.8532 | CATE 0.0719 | PEHE 0.0823 | Sens 0.0003
  Ep 52: Loss 1.4868 | AUC 0.8528 | CATE 0.0723 | PEHE 0.0825 | Sens 0.0003
  Ep 53: Loss 1.4550 | AUC 0.8528 | CATE 0.0728 | PEHE 0.0827 | Sens 0.0003
  Ep 54: Loss 1.4740 | AUC 0.8535 | CATE 0.0740 | PEHE 0.0830 | Sens 0.0003
  Ep 55: Loss 1.4658 | AUC 0.8532 | CATE 0.0742 | PEHE 0.0833 | Sens 0.0003
  Ep 56: Loss 1.4840 | AUC 0.8535 | CATE 0.0743 | PEHE 0.0839 | Sens 0.0003
  Ep 57: Loss 1.4636 | AUC 0.8539 | CATE 0.0749 | PEHE 0.0842 | Sens 0.0003
  Ep 58: Loss 1.4996 | AUC 0.8539 | CATE 0.0744 | PEHE 0.0843 | Sens 0.0003
  Ep 59: Loss 1.5610 | AUC 0.8524 | CATE 0.0750 | PEHE 0.0842 | Sens 0.0003
  Ep 60: Loss 1.4642 | AUC 0.8528 | CATE 0.0756 | PEHE 0.0843 | Sens 0.0003

=== Final SOTA Results ===
{
    "AUC": 0.8527841342486652,
    "ACC": 0.7864077669902912,
    "F1": 0.7555555555555555,
    "PEHE": 0.08432745852262699,
    "Delta_CATE": 0.075606569647789,
    "Sens_Age": 0.00032314180862158537
}
Report saved to results/final_sota_report_p_seed_45.md
